Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2019,Skoda,Skoda Rapid,118.5K km,diesel,7.34 Lakh
2018,Tata,Tata Tiago,46.5K km,petrol,4.32 Lakh
2016,Hyundai,Hyundai Grand i10,50.5K km,petrol,4.07 Lakh
2022,Tata,Tata Nexon,14.5K km,petrol,9.18 Lakh
2022,Maruti,Maruti Swift,39.5K km,petrol,5.15 Lakh
2018,Tata,Tata Nexon,110.5K km,petrol,5.63 Lakh
2018,Maruti,Maruti Ciaz,104.5K km,petrol,6.03 Lakh
2012,Hyundai,Hyundai i10,39.5K km,petrol,2.58 Lakh
2023,Maruti,Maruti XL6,32.5K km,petrol,11.59 Lakh
2023,Nissan,Nissan Magnite,86.5K km,petrol,7.76 Lakh
2018,Skoda,Skoda Octavia,78.5K km,diesel,15.49 Lakh
2017,Maruti,Maruti Alto 800,96K km,petrol,2.38 Lakh
2023,MG,MG Hector Plus,26K km,diesel,18.81 Lakh
2020,Kia,Kia Sonet,41K km,petrol,7.32 Lakh
2024,Maruti,Maruti Eeco,10.5K km,petrol,5.65 Lakh
2016,Hyundai,Hyundai Creta,98K km,diesel,7.96 Lakh
2023,MG,MG Hector Plus,45K km,diesel,16.63 Lakh
2021,MG,MG Hector,43K km,petrol,14.11 Lakh
2020,Kia,Kia Sonet,46K km,petrol,8.56 Lakh
2020,Maruti,Maruti XL6,75.5K km,petrol,8.95 Lakh
2017,Maruti,Maruti Celerio,89.5K km,petrol,3.42 Lakh
2017,Volkswagen,Volkswagen Ameo,77K km,petrol,4.81 Lakh
2021,Maruti,Maruti Baleno,118K km,petrol,5.63 Lakh
2017,Ford,Ford EcoSport,87.5K km,diesel,5.94 Lakh
2023,Renault,Renault Kiger,18K km,petrol,7.61 Lakh
2013,Honda,Honda Brio,57.5K km,petrol,2.95 Lakh
2023,Renault,Renault Triber,15.5K km,petrol,6.39 Lakh
2020,Kia,Kia Seltos,80K km,diesel,12.70 Lakh
2024,Nissan,Nissan Magnite,9.5K km,petrol,9.93 Lakh
2021,Volkswagen,Volkswagen Vento,119.5K km,petrol,8.47 Lakh
2023,Mahindra,Mahindra Scorpio N,49.5K km,diesel,20.91 Lakh
2022,Kia,Kia Seltos,35K km,petrol,10.65 Lakh
2023,Renault,Renault Triber,44K km,petrol,6.38 Lakh
2017,Maruti,Maruti Baleno,75.5K km,petrol,5.14 Lakh
2022,Kia,Kia Seltos,84.5K km,diesel,13.75 Lakh
2021,Toyota,Toyota Glanza,91.5K km,petrol,6.51 Lakh
2015,Hyundai,Hyundai Creta,102.5K km,petrol,6.55 Lakh
2022,Skoda,Skoda Slavia,37K km,petrol,10.40 Lakh
2021,MG,MG Hector,66K km,diesel,13.87 Lakh
2017,Datsun,Datsun Redi-GO,45K km,petrol,2.26 Lakh
2015,Hyundai,Hyundai Grand i10,146.5K km,petrol,3.55 Lakh
2022,Honda,Honda City,45.5K km,petrol,10.75 Lakh
2019,Hyundai,Hyundai Venue,93.5K km,petrol,7.56 Lakh
2021,Hyundai,Hyundai Venue,73.5K km,diesel,8.29 Lakh
2018,Maruti,Maruti Wagon R 1.0,82K km,petrol,3.70 Lakh
2011,Maruti,Maruti Swift Dzire,89K km,petrol,2.35 Lakh
2016,Maruti,Maruti Celerio,50K km,petrol,3.83 Lakh
2017,Maruti,Maruti Wagon R,66.5K km,petrol,3.59 Lakh
2023,Hyundai,Hyundai Venue,27K km,petrol,9.41 Lakh
2022,Tata,Tata Tigor,48K km,petrol,5.88 Lakh
2023,Maruti,Maruti Brezza,20.5K km,petrol,11.08 Lakh
2018,Renault,Renault Kwid,109.5K km,petrol,2.68 Lakh
2014,Hyundai,Hyundai Grand i10,115K km,petrol,3.23 Lakh
2016,Ford,Ford EcoSport,88K km,diesel,6.28 Lakh
2019,Renault,Renault Kwid,51K km,petrol,3.43 Lakh
2016,Ford,Ford Figo Aspire,83.5K km,petrol,4 Lakh
2016,Hyundai,Hyundai Grand i10,62K km,petrol,4.51 Lakh
2019,Tata,Tata Nexon,59.5K km,petrol,7.38 Lakh
2016,Ford,Ford EcoSport,117K km,diesel,4.39 Lakh
2020,Tata,Tata Tiago,31K km,petrol,5.02 Lakh
2015,Maruti,Maruti Celerio,90.5K km,petrol,3.13 Lakh
2023,Skoda,Skoda Kushaq,37K km,petrol,13.68 Lakh
2011,Maruti,Maruti Swift,113.5K km,petrol,2.54 Lakh
2021,Renault,Renault Kiger,61K km,petrol,5.30 Lakh
2015,Renault,Renault Kwid,69.5K km,petrol,2.53 Lakh
2023,Maruti,Maruti Brezza,35.5K km,petrol,10.65 Lakh
2017,Maruti,Maruti Swift,109K km,diesel,4.37 Lakh
2020,Maruti,Maruti Swift,89K km,diesel,6.45 Lakh
2024,Mahindra,Mahindra XUV700,17.5K km,petrol,20.02 Lakh
2022,Hyundai,Hyundai Venue,63.5K km,diesel,9.93 Lakh
2016,Hyundai,Hyundai Grand i10,55.5K km,petrol,4.16 Lakh
2022,Maruti,Maruti Celerio,59.5K km,petrol,4.52 Lakh
2021,Volkswagen,Volkswagen Taigun,65K km,petrol,12.12 Lakh
2021,Tata,Tata Tiago,28K km,petrol,5.42 Lakh
2023,Hyundai,Hyundai Venue,25.5K km,petrol,8.86 Lakh
2023,Kia,Kia Sonet,69K km,diesel,10.03 Lakh
2023,Volkswagen,Volkswagen Virtus,79.5K km,petrol,13.04 Lakh
2023,Volkswagen,Volkswagen Virtus,16.5K km,petrol,11.31 Lakh
2022,Kia,Kia Seltos,30K km,petrol,15.46 Lakh
2013,Maruti,Maruti Wagon R 1.0,93K km,cng,2.77 Lakh
2017,Ford,Ford EcoSport,49K km,petrol,5.81 Lakh
2020,Tata,Tata Nexon,70.5K km,petrol,7.18 Lakh
2023,Maruti,Maruti XL6,47.5K km,petrol,11.19 Lakh
2017,Volkswagen,Volkswagen Vento,91.5K km,diesel,6.16 Lakh
2021,Hyundai,Hyundai Venue,24.5K km,petrol,9.13 Lakh
2021,Hyundai,Hyundai Venue,78K km,petrol,7.06 Lakh
2016,Ford,Ford Figo Aspire,93K km,petrol,3.84 Lakh
2016,Hyundai,Hyundai Eon,44K km,petrol,2.41 Lakh
2017,Maruti,Maruti Baleno,68K km,petrol,4.96 Lakh
2012,Maruti,Maruti Wagon R 1.0,113.5K km,cng,2.57 Lakh
2016,Maruti,Maruti Alto K10,67.5K km,petrol,2.44 Lakh
2017,Renault,Renault Kwid,39K km,petrol,2.92 Lakh
2023,Volkswagen,Volkswagen Taigun,37K km,petrol,12.51 Lakh
2021,Ford,Ford Freestyle,49.5K km,diesel,5.98 Lakh
2019,Volkswagen,Volkswagen Polo,94.5K km,petrol,4.84 Lakh
2023,Tata,Tata Nexon,21.5K km,petrol,7.79 Lakh
2020,MG,MG Hector,93.5K km,diesel,11.95 Lakh
2020,Hyundai,Hyundai Elite i20,96.5K km,petrol,4.77 Lakh
2018,Maruti,Maruti Baleno,52K km,petrol,4.87 Lakh
2022,Tata,Tata Nexon,20K km,petrol,8.70 Lakh
2018,Ford,Ford EcoSport,104.5K km,diesel,6.59 Lakh
2018,Hyundai,Hyundai Grand i10,29K km,petrol,4.93 Lakh
2023,Maruti,Maruti S-Presso,21.5K km,petrol,4 Lakh
2013,Maruti,Maruti Swift,40.5K km,petrol,3.67 Lakh
2021,Mahindra,Mahindra Thar,52K km,petrol,10.83 Lakh
2022,Tata,Tata Punch,57K km,petrol,7.17 Lakh
2021,Tata,Tata Harrier,48.5K km,diesel,15.04 Lakh
2022,Hyundai,Hyundai New Santro 1.1,25.5K km,petrol,5.33 Lakh
2017,Hyundai,Hyundai Elite i20,120K km,petrol,4.62 Lakh
2022,Maruti,Maruti Brezza,28.5K km,petrol,10.44 Lakh
2015,Hyundai,Hyundai Grand i10,104.5K km,petrol,3.59 Lakh
2016,Hyundai,Hyundai Grand i10,42.5K km,petrol,4.01 Lakh
2018,Datsun,Datsun Redi-GO,68.5K km,petrol,2.39 Lakh
2018,Maruti,Maruti Alto K10,123.5K km,petrol,2.76 Lakh
2023,Honda,Honda Amaze,22.5K km,petrol,7.57 Lakh
2023,Maruti,Maruti Baleno,67.5K km,petrol,7.41 Lakh
2017,Hyundai,Hyundai Creta,76.5K km,diesel,8.61 Lakh
2024,Maruti,Maruti XL6,43K km,petrol,9.97 Lakh
2022,Kia,Kia Sonet,59.5K km,diesel,8.88 Lakh
2021,Ford,Ford EcoSport,17.5K km,petrol,8.42 Lakh
2017,Volkswagen,Volkswagen Ameo,69.5K km,petrol,4.26 Lakh
2020,Hyundai,Hyundai Venue,42K km,diesel,8.51 Lakh
2013,Volkswagen,Volkswagen Vento,130K km,diesel,4.12 Lakh
2021,Kia,Kia Seltos,71.5K km,petrol,10.41 Lakh
2023,Nissan,Nissan Magnite,11K km,petrol,8.38 Lakh
2019,Hyundai,Hyundai Grand i10,29K km,petrol,4.95 Lakh
2023,Renault,Renault Triber,19K km,petrol,7.38 Lakh
2019,Honda,Honda Jazz,95.5K km,petrol,4.56 Lakh
2022,Skoda,Skoda Slavia,61K km,petrol,12.04 Lakh
2016,Hyundai,Hyundai Grand i10,96.5K km,petrol,3.65 Lakh
2022,Kia,Kia Seltos,80K km,petrol,9.81 Lakh
2023,Maruti,Maruti Wagon R,42K km,petrol,5.56 Lakh
2022,Mahindra,Mahindra Thar,44.5K km,petrol,11.87 Lakh
2012,Ford,Ford Figo,93K km,diesel,2.45 Lakh
2019,Hyundai,Hyundai Grand i10,24.5K km,petrol,5.16 Lakh
2021,Hyundai,Hyundai New Santro 1.1,18K km,petrol,4.99 Lakh
2018,Maruti,Maruti Wagon R,67.5K km,petrol,3.34 Lakh
2021,Renault,Renault Kiger,75.5K km,petrol,6.84 Lakh
2020,Ford,Ford Freestyle,60K km,diesel,6.51 Lakh
2018,Maruti,Maruti Celerio,43.5K km,petrol,4.29 Lakh
2021,MG,MG Hector,61K km,diesel,11.97 Lakh
2014,Hyundai,Hyundai Eon,103K km,petrol,2.15 Lakh
2019,Hyundai,Hyundai Elite i20,89.5K km,petrol,5.87 Lakh
2018,Maruti,Maruti Baleno,53K km,petrol,5.57 Lakh
2016,Hyundai,Hyundai Xcent,110K km,petrol,3.64 Lakh
2017,Nissan,Nissan Micra Active,100K km,petrol,3.10 Lakh
2018,Maruti,Maruti S-Cross,106.5K km,diesel,7.12 Lakh
2012,Ford,Ford Figo,130K km,diesel,2.27 Lakh
2022,Hyundai,Hyundai Venue,65K km,diesel,9.93 Lakh
2014,Hyundai,Hyundai Xcent,55.5K km,petrol,4.74 Lakh
2020,Renault,Renault Triber,67K km,petrol,4.50 Lakh
2018,Skoda,Skoda Rapid,76K km,diesel,6.25 Lakh
2021,Datsun,Datsun Redi-GO,56.5K km,petrol,2.87 Lakh
2022,Skoda,Skoda Slavia,37.5K km,petrol,14.75 Lakh
2021,Honda,Honda WR-V,47K km,diesel,8.85 Lakh
2012,Maruti,Maruti Swift,94K km,diesel,3.75 Lakh
2018,Maruti,Maruti Alto K10,66.5K km,petrol,3.03 Lakh
2022,Maruti,Maruti Ignis,36K km,petrol,5.22 Lakh
2013,Honda,Honda Amaze,67.5K km,petrol,3.52 Lakh
2021,Maruti,Maruti XL6,43.5K km,petrol,10.06 Lakh
2021,Nissan,Nissan Magnite,90.5K km,petrol,6.06 Lakh
2012,Maruti,Maruti Wagon R 1.0,72K km,cng,2.72 Lakh
2022,Skoda,Skoda Kushaq,34K km,petrol,13.06 Lakh
2023,Hyundai,Hyundai Venue,55K km,petrol,7.68 Lakh
2022,Maruti,Maruti Alto 800,29.5K km,petrol,3.43 Lakh
2017,Maruti,Maruti Alto 800,66.5K km,petrol,2.54 Lakh
2018,Maruti,Maruti Vitara Brezza,75.5K km,diesel,7.70 Lakh
2018,Renault,Renault Kwid,56.5K km,petrol,3.14 Lakh
2020,Hyundai,Hyundai Verna,53K km,petrol,10.89 Lakh
2021,Maruti,Maruti Ignis,33K km,petrol,5.82 Lakh
2022,Maruti,Maruti S-Presso,21.5K km,petrol,4.80 Lakh
2022,Maruti,Maruti Brezza,37.5K km,petrol,10.17 Lakh
2019,Maruti,Maruti Ignis,28K km,petrol,5.68 Lakh
2016,Ford,Ford EcoSport,90.5K km,diesel,5.50 Lakh
2024,Mahindra,Mahindra XUV700,16.5K km,petrol,19.86 Lakh
2023,Hyundai,Hyundai Verna,32.5K km,petrol,14.99 Lakh
2014,Honda,Honda City,117K km,diesel,4.51 Lakh
2013,Maruti,Maruti Alto 800,72K km,petrol,2.03 Lakh
2023,Maruti,Maruti Fronx,28.5K km,petrol,10.86 Lakh
2018,Hyundai,Hyundai Creta,50.5K km,petrol,9.58 Lakh
2019,Maruti,Maruti Dzire,39.5K km,petrol,5.86 Lakh
2016,Hyundai,Hyundai Elite i20,107K km,diesel,4.67 Lakh
2021,Kia,Kia Sonet,33.5K km,petrol,8.93 Lakh
2017,Renault,Renault Kwid,97.5K km,petrol,2.68 Lakh
2023,Renault,Renault Kiger,22K km,petrol,7.36 Lakh
2019,Datsun,Datsun Redi-GO,49K km,petrol,2.49 Lakh
2023,Maruti,Maruti Swift,26K km,petrol,7.17 Lakh
2023,Hyundai,Hyundai Verna,70K km,petrol,13.91 Lakh
2015,Volkswagen,Volkswagen Polo,142K km,diesel,3.77 Lakh
2015,Maruti,Maruti Ciaz,99.5K km,petrol,4.78 Lakh
2023,MG,MG Hector,47.5K km,petrol,17.84 Lakh
2017,Maruti,Maruti Wagon R 1.0,74.5K km,petrol,3.24 Lakh
2014,Hyundai,Hyundai Grand i10,63.5K km,diesel,3.78 Lakh
2021,Hyundai,Hyundai Alcazar,95K km,petrol,13.60 Lakh
2022,Hyundai,Hyundai Aura,13.5K km,petrol,6.14 Lakh
2016,Maruti,Maruti S-Cross,100K km,diesel,6.22 Lakh
2022,Hyundai,Hyundai Creta,74K km,diesel,15.50 Lakh
2014,Hyundai,Hyundai Grand i10,62K km,petrol,3.50 Lakh
2021,Renault,Renault Kiger,46.5K km,petrol,5.92 Lakh
2023,MG,MG Hector Plus,25.5K km,petrol,17.14 Lakh
2022,Nissan,Nissan Magnite,15.5K km,petrol,5.75 Lakh
2022,Renault,Renault Kiger,21.5K km,petrol,8.11 Lakh
2017,Renault,Renault Kwid,68K km,petrol,3.07 Lakh
2010,Maruti,Maruti Swift Dzire,23K km,petrol,2.79 Lakh
2011,Maruti,Maruti Wagon R,75K km,petrol,2.13 Lakh
2015,Maruti,Maruti Ritz,18.5K km,petrol,3.69 Lakh
2023,Volkswagen,Volkswagen Taigun,41.5K km,petrol,12.48 Lakh
2023,Tata,Tata Altroz,32.5K km,petrol,7.92 Lakh
2019,Renault,Renault Kwid,62K km,petrol,3.17 Lakh
2015,Hyundai,Hyundai i10,47.5K km,petrol,3.19 Lakh
2019,Maruti,Maruti Baleno,50K km,petrol,6.46 Lakh
2013,Hyundai,Hyundai i10,129.5K km,petrol,2.91 Lakh
2022,Maruti,Maruti Brezza,15K km,petrol,10.91 Lakh
2022,Maruti,Maruti Brezza,61K km,petrol,9.34 Lakh
2022,Maruti,Maruti XL6,32K km,petrol,9.98 Lakh
2018,Hyundai,Hyundai Xcent,30.5K km,petrol,5.35 Lakh
2014,Maruti,Maruti Ritz,109K km,petrol,2.95 Lakh
2021,Hyundai,Hyundai Aura,28K km,petrol,6.30 Lakh
2016,Hyundai,Hyundai Eon,59.5K km,petrol,2.70 Lakh
2020,Hyundai,Hyundai Verna,76.5K km,petrol,10.36 Lakh
2021,Kia,Kia Sonet,66K km,petrol,7.83 Lakh
2018,Maruti,Maruti Swift,32K km,petrol,6.17 Lakh
2018,Hyundai,Hyundai Creta,50K km,diesel,11.03 Lakh
2016,Maruti,Maruti Swift Dzire,111.5K km,diesel,4.84 Lakh
2012,Hyundai,Hyundai i10,54.5K km,petrol,2.76 Lakh
2022,Maruti,Maruti Ignis,67.5K km,petrol,4.95 Lakh
2013,Maruti,Maruti Swift,115K km,petrol,3.24 Lakh
2021,Nissan,Nissan Magnite,69K km,petrol,6.54 Lakh
2023,Maruti,Maruti Ignis,20.5K km,petrol,5.93 Lakh
2019,Maruti,Maruti Swift,84K km,diesel,6.68 Lakh
2020,Renault,Renault Triber,112K km,petrol,4.61 Lakh
