Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2021,Ford,Ford Figo Aspire,39K km,petrol,6.23 Lakh
2017,Honda,Honda Amaze,41.5K km,petrol,4.37 Lakh
2017,Hyundai,Hyundai Elite i20,90K km,petrol,4.95 Lakh
2011,Hyundai,Hyundai i10,19K km,petrol,2.68 Lakh
2022,Jeep,Jeep Compass,55K km,petrol,17.90 Lakh
2019,Maruti,Maruti Alto 800,46K km,petrol,3.20 Lakh
2016,Maruti,Maruti Alto K10,62.5K km,petrol,2.67 Lakh
2019,Hyundai,Hyundai Santro,59.5K km,petrol,4.10 Lakh
2016,Ford,Ford Figo,62K km,petrol,4.38 Lakh
2017,Maruti,Maruti Alto 800,42.5K km,petrol,2.76 Lakh
2014,Maruti,Maruti Swift Dzire,124.5K km,petrol,3.93 Lakh
2018,Datsun,Datsun Redi-GO,39.5K km,petrol,2.32 Lakh
2022,BMW,BMW 3 Series,30.5K km,diesel,35.90 Lakh
2014,Hyundai,Hyundai Xcent,86.5K km,petrol,3.83 Lakh
2012,Hyundai,Hyundai Eon,26K km,petrol,2.30 Lakh
2021,Kia,Kia Seltos,116.5K km,petrol,9.78 Lakh
2012,Maruti,Maruti Swift,77.5K km,petrol,3.25 Lakh
2018,Renault,Renault Kwid,100K km,petrol,3.20 Lakh
2021,Hyundai,Hyundai Venue,17K km,petrol,8.57 Lakh
2017,Hyundai,Hyundai Xcent,32.5K km,petrol,4.94 Lakh
2018,Maruti,Maruti Baleno,100K km,petrol,5.17 Lakh
2023,Maruti,Maruti Alto 800,48.5K km,petrol,3.46 Lakh
2023,Skoda,Skoda Slavia,11K km,petrol,9.98 Lakh
2021,Renault,Renault Kiger,28K km,petrol,6.10 Lakh
2018,Honda,Honda Jazz,88.5K km,petrol,5.11 Lakh
2021,Maruti,Maruti Vitara Brezza,95K km,petrol,8.40 Lakh
2021,Hyundai,Hyundai Venue,49.5K km,petrol,8.87 Lakh
2017,Maruti,Maruti Alto 800,78K km,petrol,2.56 Lakh
2020,Kia,Kia Seltos,101K km,petrol,9.32 Lakh
2021,Maruti,Maruti Alto 800,20.5K km,petrol,3.41 Lakh
2017,Ford,Ford EcoSport,97.5K km,diesel,5.67 Lakh
2021,Kia,Kia Seltos,54.5K km,petrol,14.35 Lakh
